,M1,M2,q,maxR,P,R_L1,f_binary
0,1.0,0.358913212807529,0.358913212807529,147.5368780218693,4448.618580072971,4305.611857571805,0.3670646962873361
1,1.75,1.0061595049379068,0.5749482885359468,109.63063722594973,5980.883348740359,7484.282970713421,0.4095119660410802
2,1.67,0.5203823036371437,0.31160616984260103,128.2388575709329,2497327.31448592,330993.6412127821,0.40490887355769273
3,1.58,1.5768102469038334,0.9979811689264768,129.44681027636227,6.057984993595112,90.05567845770433,0.3997077543845401
4,0.95,0.9439393728783203,0.9936203925034951,167.2246637172014,11374.486464850543,11548.296433862379,0.3645502703208014
5,0.83,0.44297062029950446,0.5336995425295235,157.94337037286607,973429.5830256264,169298.10978339272,0.3590357593647928
6,1.41,1.3624420619312172,0.9662709659086647,152.54568864701375,73424.0417124993,45169.260945661415,0.38986641087472895
7,1.2,0.8217178581097336,0.6847648817581113,161.705060227706,99.66419405079397,459.571463950223,0.3778728203285736
8,1.01,0.3265548477556104,0.3233216314411984,125.33782807023573,65701076.5694164,2507738.488515618,0.36757923072071
9,1.62,0.49353972376596345,0.3046541504728169,126.37212032627073,4404.861746597306,4746.276147303996,0.40202162680732
10,1.94,0.6191455833074883,0.31914720789045786,79.37443860027112,3110696.42495608,406146.95206634176,0.42032990338385606
11,1.46,1.0606339741035153,0.7264616260982982,135.64349942870004,76596.350086001,42095.53748078626,0.3927581162398227
12,1.72,1.529739578648015,0.8893834759581483,121.66515049022983,2930963.2317689504,545711.4018133319,0.4077885436755609
13,1.75,0.8224934586459716,0.46999626208341233,109.63063722594973,8663.619183594386,8903.199942760473,0.4095119660410802
14,0.86,0.6761647340638799,0.7862380628649767,147.9942234856161,36796.74587475526,22307.927276228664,0.3603305486930311
15,1.35,1.0040527129736843,0.7437427503508771,147.1725433504162,343.8786546108647,1126.1020287117462,0.3864074600870583
16,1.43,1.3132441329151296,0.9183525405000906,144.08515476818866,541535.3851796917,168555.3961506099,0.3910223695974962
17,0.84,0.8261628980409889,0.9835272595726058,196.5734903611193,46.91687041113321,283.93464167673574,0.3594601074962396
18,2.7,1.2352822268752686,0.45751193587972905,36.83189272778455,4.026416933715302,61.13155005247181,0.4613196761659036
19,1.58,1.3447981206662827,0.8511380510546093,103.90292331413258,5284.995894026744,7725.863467596215,0.3997077543845401
20,2.27,2.158368941960207,0.9508233224494305,31.61130101163696,322799.7193332673,141174.77939751322,0.43861240517445155
21,2.46,1.5625161972108732,0.6351691858580786,33.64384620669344,16.908025670770975,173.93593896241705,0.448805619681649
22,1.84,1.1755750074349116,0.638899460562452,91.15197835873798,13264.760201756568,13459.778686162945,0.4146588730958511
23,1.32,1.0313502485194819,0.7813259458480923,133.6650430890591,153809.31753582976,66612.58343818356,0.3846849929329777
24,1.36,0.8757055905829031,0.6439011695462522,154.56049215756335,84305.36879749544,41877.5953988218,0.3869827959707702
25,0.94,0.7685980517374617,0.8176575018483635,136.15865109877956,204.95737599621572,733.0188235168301,0.36406028598684514
26,0.91,0.623181308600053,0.6848146248352232,123.47967469964597,82.43242526019958,369.28154790139985,0.36261971113878405
27,0.95,0.30270458378451637,0.31863640398370147,158.4538393461499,25959.801894820994,13163.747852625656,0.3645502703208014
28,1.15,1.1078151097547122,0.963317486743228,155.46228479437113,1094647.6967669777,255331.01761448474,0.3750886262072952
29,1.13,0.6517435352012776,0.5767641904436085,173.6729440356496,755548.9284164276,163054.85252420066,0.3739872116990731
30,1.44,0.5594233398585399,0.3884884304573194,136.42209791154866,2607007.810581249,350076.95676359895,0.3916007436841215
31,2.59,2.563822623577966,0.9898929048563577,34.86580213354924,8.495706584651861,132.61036397118656,0.4556341776285355
32,2.37,2.3259756659349744,0.9814243316181327,32.306187901090524,1985.6900010469685,4868.5147990289415,0.4440086512350311
33,1.14,0.5987282087486994,0.5252001831128942,200.74268841694717,35652.65279452424,20633.529987707894,0.3745369548766864
34,1.55,0.8249327729334104,0.5322146922151034,131.32321727173579,216778.58020273782,76518.95639528775,0.3979707655088186
35,1.32,0.9657056476275483,0.7315951875966274,164.1574405587362,2.262530030453241,38.99981393030833,0.3846849929329777
36,1.44,0.525934381832867,0.36523220960615765,98.04211363567578,2483619.47748682,331674.72399356996,0.3916007436841215
37,1.54,1.2121293451339468,0.7870969773597057,161.16793954514648,9928135.039917924,1131585.5083704633,0.3973915792203678
38,2.16,2.150688880312835,0.9956892964411271,27.749117217245132,11116.843877059568,14967.564806917446,0.43259723812007544
39,1.54,1.2413668502640036,0.806082370301301,131.90224337316525,130.5892336528427,636.3421550031588,0.3973915792203678
40,1.45,0.6876209269096125,0.474221328903181,109.37350602453328,78554.7770525953,36478.596979570546,0.39217933653848863
41,1.23,1.1849048227412886,0.9633372542612103,185.83029409894272,5.593555443182057,77.46732472327218,0.37956111106747276
42,1.2,0.950076235279007,0.7917301960658392,179.20995525531234,11.048678489452339,112.07640331836276,0.3778728203285736
43,0.89,0.8088008091059274,0.9087649540516038,146.15573521734277,57562878.08689972,3216053.2876802683,0.36168604342121763
